2
127 127
4 86 0.133908
4 87 -0.0716511
4 88 0.073666
4 89 -0.0904811
4 90 -0.163425
4 91 -0.0828274
4 92 -0.177238
4 93 -0.0711991
4 94 -0.0229367
4 95 0.186712
4 96 0.0837121
4 97 -0.0505975
4 98 0.130106
4 99 0.0574852
4 100 0.0428245
4 101 -0.0770095
4 102 0.112085
4 103 -0.0432931
4 104 0.106857
4 105 0.0509756
4 106 0.158214
4 107 0.0307497
4 108 0.189546
4 109 0.139733
4 110 -0.0612913
4 111 0.161599
4 112 -0.134757
4 113 -0.142888
4 114 0.186103
4 115 0.126878
4 116 -0.0193919
4 117 -0.0560202
4 118 0.0199017
4 119 0.172206
4 120 0.108927
4 121 0.067169
4 122 0.110595
4 123 0.0749152
4 124 -0.119849
4 125 0.0273249
4 126 -0.175475
5 0 0.108573
5 1 -0.0873431
5 2 0.193743
5 3 0.137399
5 4 -0.0160594
5 5 0.020735
5 6 -0.125105
5 7 -0.171511
5 8 0.00811301
5 9 0.214109
5 10 -0.145995
5 11 -0.093977
5 12 -0.000471089
5 13 0.062796
5 14 0.145465
5 15 0.0133878
5 16 -0.225446
5 17 0.0523694
5 18 -0.0584999
5 19 -0.346129
5 20 -0.0827398
5 21 0.0962936
5 22 0.0799503
5 23 0.0360654
5 24 -0.194049
5 25 0.00176569
5 26 -0.0267689
5 27 -0.216521
5 28 0.224246
5 29 0.181579
5 30 0.00569723
5 31 -0.0277715
5 32 0.0399291
5 33 0.00362728
5 34 -0.149708
5 35 -0.216693
5 36 -0.121262
5 37 0.101535
5 38 -0.0933041
5 39 -0.011763
5 40 0.00826819
5 41 -0.057684
5 42 0.086307
5 43 -0.0105593
5 44 0.218229
5 45 -0.181111
5 46 -0.139455
5 47 -0.0626369
5 48 -0.122655
5 49 -0.223583
5 50 -0.061467
5 51 0.159541
5 52 0.0185645
5 53 -0.120162
5 54 0.00647712
5 55 -0.017857
5 56 -0.0685763
5 57 -0.0846321
5 58 -0.0849849
5 59 0.168937
5 60 -0.140097
5 61 -0.111307
5 62 0.0426718
5 63 -0.150342
5 64 0.235928
5 65 0.0390191
5 66 0.0720836
5 67 -0.0650603
5 68 0.163297
5 69 0.116681
5 70 0.101425
5 71 -0.000969951
5 72 0.280729
5 73 -0.292297
5 74 0.0434782
5 75 0.106439
5 76 -0.172562
5 77 -0.048309
5 78 0.060304
5 79 0.139335
5 80 0.0286966
5 81 -0.0150163
5 82 -0.021335
5 83 0.0844559
5 84 0.0962548
5 85 0.0938121
5 86 -0.00397734
5 87 -0.0738797
5 88 -0.0927385
5 89 -0.0205018
5 90 -0.0416764
5 91 0.0187839
5 92 -0.0851607
5 93 0.0896727
5 94 0.115795
5 95 0.171211
5 96 0.0685816
5 97 0.148155
